MUNICIPIO;VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
SANDONA;CHAVEZ;MANANTIAL MATA DE GUADUA;276;16/12/2024;1,278178;77,488319;https://drive.google.com/file/d/1-d-GGXO0bOMxvuU7FuXq2tXOOZDmBv_q/view?usp=sharing
SANDONA;SAN FRANCISCO;LA AGUADA;;;1,274753;77,482469;https://drive.google.com/file/d/1z5KxIJg8aZ7oN23aTpP0rAcQ1Y_-6x0p/view?usp=sharing
SANDONA;SANTA ROSA CENTRO;MANANTIAL EL BALCON;281;16/12/2024;1,279011;77,440758;https://drive.google.com/file/d/156GQvNbFRjYbYujXNO48Y4xUY8emQNyR/view?usp=sharing
SANDONA;SAN ANDRES;MANANTIAL SAN ANDRES;;;1,2868;77,455911;https://drive.google.com/file/d/1i145LZImPdJw7-bei8YZXX1cW4leSJR5/view?usp=sharing
SANDONA;LA REGADERA;CAÑADA LA REGADERA;;;1,267142;77,467494;https://drive.google.com/file/d/1l1nD7mZe9w2ou-2mCXOiXpl5fxL2AYpy/view?usp=sharing
SANDONA;SAN ANDRES;MANANTIAL SAN ANDRES;;;1,2868;77,455911;https://drive.google.com/file/d/1BRlI-ePcXrOO3rou1FRdeMfoYRiBcPSb/view?usp=sharing
SANDONA;ALTO JIMENEZ;CAÑADAS EL CASTRO Y EL AMARILLO;;;1,245819;77,433178;https://drive.google.com/file/d/1GFbSIEhpgy4-hr1w-stlPNoqZcAJ2rq0/view?usp=sharing
SANDONA;SAN ISIDRO;CAÑADA EL GUARANGO;;;1,271364;77,465753;https://drive.google.com/file/d/1gix1I1U4oU00m4s34urrgLgzy8UcZRo5/view?usp=sharing
SANDONA;PLAN JOYA;MANANTIAL LA JOYA;;;1,290486;77,477681;https://drive.google.com/file/d/1cy-Biid0IQ-DjY26TdTrOW-ZjjK4aVGw/view?usp=sharing
SANDONA;CHAVEZ;MANANTIAL MATA DE GUADUA;326;30/12/2024;1,278178;77,488319;
