MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
TABLON DE GOMEZ;LAS MESAS - EL CARMELO;EL GARZA 420 - CARMELO;262;23/10/2023;1,475375;-77,020761;
TAMBO;TANGUANA;GUANCHIRANDA;314;5/12/2023;1,401336;-77,397911;
TAMBO;SAN PABLO ALTO;LA ARRINCONADA;333;14/12/2023;1,408753;-77,426203;
TAMINANGO;REMOLINO;POZO 1;119;14/06/2023;1,662603;-77,311378;
TAMINANGO;LOMA LARGA;LA ESPERANZA;163;17/07/2023;1,525844;-77,336681;
TAMINANGO;PANOYA;PANOYA;183;08/08/2023;1,571711;-77,356508;
TAMINANGO;GUAYACANAL;GUAYACANAL;180;04/08/2023;1,577289;-77,333639;
TAMINANGO;ALTO DON DIEGO;LA MATA DE CHACLA;197;24/08/2023;1,566207;-77,307832;
TAMINANGO;PANOYA;LOMA DE PANOYA;245;9/10/2023;1,571711;-77,356508;
TAMINANGO;CHAPUNGO;LA MATA DE GUINEO;229;18/09/2023;1,530007;-77,360132;
TAMINANGO;PANOYA;LA HERRADURA;246;9/10/2023;1,571711;-77,356508;
TAMINANGO;MANIPIA;EL CHORRO;230;18/09/2023;1,54927;-77,316306;
TAMINANGO;MANIPIA;AGUA BONITA;247;9/10/2023;1,54927;-77,316306;
TAMINANGO;GUAYACANAL;EL PANTANO;263;23/10/2023;1,577289;-77,333639;
TAMINANGO;GUAYACANAL;GUAYACANAL;257;11/10/2023;1,577289;-77,333639;
TAMINANGO;MANIPIA;YARUMO;254;10/10/2023;1,54927;-77,316306;
TANGUA;COCHA VERDE;LA MAGDALENA;102;15/05/2023;1,058284;-77,416187;
TANGUA;LA PALIZADA;EL CUSCUNGO;125;15/06/2023;1,123586;-77,32618;
TANGUA;BORDO ALTO;QUEBRADA BUESACO;141;04/07/2023;1,083603;-77,400786;
TANGUA;EL TABLON OBRAJE;LA MAGDALENA, SEQUIA EL TABLON OBRAJE;210;01/09/2023;1,075298;-77,417266;
TANGUA;LAS PICORAS;EL PILCHE;267;24/10/2023;1,100858;-77,398183;
TANGUA;SAN FRANCISCO;EL CARRIZAL;270;24/10/2023;1,063333;-77,375;
