MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
EL ROSARIO;LOS ROBLES;HUECO DEL OSO;252;10/10/2023;1,756906;-77,329031;
EL ROSARIO;MACAL;MACAL;253;10/10/2023;1,730431;-77,33765;
EL ROSARIO;ESMERALDAS;LA ALEGRIA;357;29/12/2023;1,885296;-77,501444;
EL ROSARIO;SANTA ISABEL;SANTA ISABEL;221;08/09/2023;1,770928;-77,340531;
EL TAMBO;CAPULI DE MINAS;LOS HIGUERONES;78;28/04/2023;1,385845;-77,357278;
EL TAMBO;LA GRANJA;OJO DE AGUA;84;03/05/2023;1,410261;-77,381056;
EL TAMBO;POTRERILLO;DON CONSTANTINO;42;27/02/2023;1,430683;-77,421707;
EL TAMBO;POCAURCO;BOCATOMA;172;02/08/2023;1,34214;-77,403495;
EL TAMBO;TAMBILLO;PICHUELO;139;29/06/2023;1,64195;-77,686125;
EL TAMBO;PLAN VERDE;JOSE ABEL;106;31/05/2023;1,439178;-77,411184;
EL TAMBO;CASCAJAL BAJO;ALTO CASCAJAL;114;14/06/2023;1,422866;-77,443528;
EL TAMBO;POCAURCO;BOCATOMA;172;02/08/2023;1,34214;-77,403495;
EL TAMBO;CAPULI DE MINAS;RASTROJO;194;24/08/2023;1,385833;-77,357278;
EL TAMBO;TAMBILLO;Tambillo;367;29/12/2023;1,64195;-77,686125;https://drive.google.com/file/d/1lyGjiEa-A-cxz7wZbQ0pNdMjfVkBZxmr/view?usp=sharing
EL TAMBO;PUEBLO VIEJO;PUEBLO VIEJO;250;10/10/2023;1,4045;-77,378361;https://drive.google.com/file/d/1FK-NtOAj2NZZs1QtvskEqTmZ5pXKSYc5/view?usp=sharing
LA FLORIDA;PACHINDO;QUEBRADA DE PACHINDO;293;27/11/2023;1,283011;-77,416619;
FRANCISCO PIZARRO;EL CEDRO;EL CEDRO;55;17/04/2023;2,060381;-78,613839;
FRANCISCO PIZARRO;LA CASCADA;LA CASCADA;56;17/04/2023;2,024711;-78,617069;
FRANCISCO PIZARRO;LA PRIMAVERA;LA PRIMAVERA;57;17/04/2023;2,013369;-78,659392;
FRANCISCO PIZARRO;CHORRO DE LA LOMA;CHORRO DE LA LOMA;58;17/04/2023;2,0616;-78,651339;
FRANCISCO PIZARRO;PUERTO GAITAN;FINCA INCHACO;272;27/10/2023;2,075744;-78,674378;
FRANCISCO PIZARRO;PUERTO GAITAN;INCHACO;273;27/10/2023;2,075744;-78,674378;
FUNES;TELLEZ ALTO;ECO CANTARINO;62;18/04/2023;1,001675;-77,460378;
FUNES;EL CHAPAL;NACEDERO SAN ISIDRO;239;27/09/2023;1,008172;-77,436408;
FUNES;EL CHAPAL;NACEDERO EL ZANJON;242;3/10/2023;1,008172;-77,436408;
GUACHUCAL;IPIALPUD BAJO;POZO;5;12/01/2023;0,960325;-77,7276;
GUACHUCAL;VILLANUEVA;ARROYO LA CORTADERA;68;21/04/2023;0,975397;-77,744078;
GUAITARILLA;EL CABUYO BAJO;LA TOMA;71;21/04/2023;1,146956;-77,520878;
GUAITARILLA;AHUMADA;CASA FRIA;76;27/04/2023;1,182172;-77,547744;
GUAITARILLA;SAN ALEJANDRO;EL DUENDE;161;17/07/2023;1,143333;-77,513056;
GUAITARILLA;CUMAG GRANDE;DOÑA JUANA;148;06/07/2023;1,133978;-77,565331;
GUAITARILLA;SAN VICENTE;PEÑA BLANCA;188;16/08/2023;1,13765;-77,550847;
GUAITARILLA;SAN FRANCISCO;EL CUCHARO;301;4/12/2023;1,138522;-77,553819;
GUAITARILLA;EL CABUYO;EL ARRAYAN;329;12/12/2023;1,151333;-77,523669;
GUAITARILLA;CUMAG CHIQUITO;EL CUCHO CUMAG CHIQUITO;340;18/12/2023;1,137797;-77,570397;
GUALMATAN;CHARANDU;CHARANDU;80;02/05/2023;0,927653;-77,600225;
GUALMATAN;CUATIS;EL MANANTIAL;85;04/05/2023;0,927194;-77,576908;
GUALMATAN;SAN ANTONIO;PANAMAL;177;03/08/2023;0,908458;-77,567242;
GUALMATAN;DOS CAMINOS;CANTERA DOS;288;21/11/2023;0,929408;-77,566597;
GUALMATAN;COFRADIA;SIN NOMBRE;334;18/12/2023;0,921331;-77,555981;
ILES;EL CAPULI;ARROYO EL BAÑO;4;11/01/2023;1,0011;-77,47;
ILES;EL PORVENIR;NACIMIENTO EL PINLLO;53;10/04/2023;1,015989;-77,488486;
ILES;URBANO;LOS ARRAYANES;182;08/08/2023;0,969747;-77,522628;
ILES;LOMA DE ARGOTYS;EL TUNDAL;191;23/08/2023;0,962778;-77,5575;
ILES;LOMA DE ARGOTYS;ARROYO BOLIVAR MIRADOR;192;23/08/2023;0,962778;-77,5575;
ILES;LOMA DE ARGOTYS;JABONCILLO;176;03/08/2023;0,962778;-77,5575;
ILES;EL CAPULI;EL ARRAYAB;195;24/08/2023;;-77,47;
ILES;SAN ANTONIO;ARROYO EL BAÑO;275;30/10/2023;0,985819;-77,545756;
ILES;EL CAPULI;ARRAYAN;271;24/10/2023;1,0011;-77,47;
ILES;EL CAPULI;EL GUINEO;287;21/11/2023;1,0011;-77,47;
IMUES;EL PEDREGAL;PEÑA DE LOS LOROS;83;03/05/2023;1,0518;-77,452008;
IMUES;SILAMA;EL MILAGRO DE DIOS;225;14/09/2023;1,057761;-77,484475;
IMUES;SILAMA;SILAMAG;227;18/09/2023;1,057761;-77,484475;
IMUES;EL PEDREGAL;POZO PROFUNDO;232;18/09/2023;1,0518;-77,452008;
IMUES;SAN BUENAVENTURA;LA TINAJA;375;29/12/2023;1,065431;-77,501789;
IPIALES;EL MIRADOR;ARROYO LA HONDURA;207;29/08/2023;0,853033;-77,668383;
IPIALES;PENJAMO;ARROYO QUEBRADA LA FRIA;174;02/08/2023;0,683494;-77,531431;
IPIALES;CHAGUAIPE;ARROYO PIEDRANCHA;231;18/09/2023;0,8456;-77,567689;
IPIALES;TELIZ;RIO TELIZ;311;5/12/2023;0,804469;-77,641383;
IPIALES;VILLA FLOR 2;ARROYO LOS CRISTALES;318;6/12/2023;0,772586;-77,712975;
IPIALES;EL ROSAL DE SAN JUAN;ARROYO EL CHORRO;352;19/12/2023;0,823817;-77,613967;
LA CRUZ;ALTO SANO;AGUACILLAS PEÑAS BLANCAS;181;08/08/2023;1,604111;-76,978025;
LA CRUZ;LOMA LARGA;PIEDRA CUEVA DEL LORO;187;16/08/2023;1,542778;-76,957028;
LA FLORIDA;SECTOR ORIENTAL;EL CASCAJAL;266;23/10/2023;1,300127;-77,391516;
LA FLORIDA;SAN FRANCISCO;TUNJA GRANDE - SAN FRANCISCO;315;5/12/2023;1,355936;-77,353597;
LA LLANADA;LA FLORESTA;BOCATOMA LA CHORRERA;3;10/01/2023;1,48176;-77,573748;
LA LLANADA;PALMAR;PALMAR;209;01/09/2023;1,561389;-77,621948;
LA LLANADA;LA FLORIDA;LA FLORIDA;217;08/09/2023;1,563374;-77,662357;
LA LLANADA;SAN PEDRO;SAN PEDRO EL CUCHO;218;08/09/2023;1,468867;-77,583572;
LA LLANADA;EL VERGEL;SANTA ROSA;219;08/09/2023;1,534231;-77,655949;
LA UNION;BUENOS AIRES;EL TRIGAL;51;21/03/2023;1,569023;-77,145711;
LA UNION;LA PRADERA;LA CRISTALINA;105;19/05/2023;1,591625;-77,1443;
LA UNION;LA JACOBA;QUEBRADA GRANDE;130;20/06/2023;1,583406;-77,146772;
LA UNION;LA PLAYA;LA PISCINA;160;17/07/2023;1,631417;-77,161944;
LA UNION;LA MERCED;EL MANANTIAL;265;23/10/2023;1,574417;-77,130944;
LA UNION;LA MERCED;LA JACOBA;278;30/10/2023;1,574417;-77,130944;
LEIVA;SANTA LUCIA;LA LUCHA;338;18/12/2023;1,906974;-77,273375;
LINARES;SAN FRANCISCO;ALTO PEDRERO;2;01/01/2023;1,333889;-77,537222;
LINARES;SAN FRANCISCO;EL PEDRERO;120;14/06/2023;1,333889;-77,537222;
LINARES;LA TOLA;CHUPITAMBO;144;06/07/2023;1,352222;-77,5025;
LINARES;ARBOLEDA;LA LOMA;213;01/09/2023;1,342;-77,533;
LINARES;ARBOLEDA;EL ESTADIO;214;01/09/2023;1,342;-77,533;
LINARES;BELLA VISTA;PUERTO ALCALA;186;16/08/2023;1,339816;-77,510603;
LINARES;BELLA VISTA;ALTO POZUELO;290;24/11/2023;1,339816;-77,510603;
LINARES;ARBOLEDA;EL PLACER LA PEÑA;327;12/12/2023;1,342;-77,533;https://drive.google.com/file/d/1NDx8RdSEH7UBDc_V270cXLiItXMVhXcP/view?usp=sharing
LINARES;ARBOLEDA;LA PEÑA;339;18/12/2023;1,342;-77,533;
LINARES;TAMBILLO DE BRAVOS;LA MONTAÑA;361;29/12/2023;1,403521;-77,51193;
LINARES;TAMBILLO DE BRAVOS;EL CERRO;362;29/12/2023;1,403521;-77,51193;
LINARES;TAMBILLO DE BRAVOS;EL PALMAR;363;29/12/2023;1,403521;-77,51193;
LOS ANDES;LA AURORA BAJA;EL MADARINO;324;12/12/2023;1,531714;-77,476436;
LOS ANDES;LA AURORA;LA AURORA;328;12/12/2023;1,528453;-77,475372;
LOS ANDES;EL PLACER;HUECO HONDO;330;12/12/2023;1,544944;-77,468528;
LOS ANDES;LA LOMA;LA PALMERA Y EL ROBLE;325;12/12/2023;1,494814;-77,504622;
MALLAMA;SAN MIGUEL;QUEBRADA SAN MIGUEL;24;03/02/2023;1,180672;-77,914403;
MALLAMA;PIDRADRANCHA;QUEBRADA CHALA;34;10/02/2023;1,146706;-77,860847;
MALLAMA;CHUCUNES;QUEBRADA CHARGUAYACO;23;03/02/2023;1,167483;-77,895508;
MALLAMA;PUEBLO VIEJO;JORGE BEDOYA;199;28/08/2023;1,049219;-77,884294;
NARIÑO;EL COMUN;LA INMACULADA;19;23/01/2023;1,285217;-77,351525;
NARIÑO;EL SILENCIO;QUEBRADA URAPAN;321;11/12/2023;1,275721;-77,362001;
OSPINA;NARIÑO;CUNCHILA;241;29/09/2023;1,050588;-77,574847;
OSPINA;NO REGISTRA;NACIMIENTO LA PISCINA;228;18/09/2023;1,058283;-77,560425;
OSPINA;SAN MIGUEL;LOS PILARES DE SAN MIGUEL;286;17/11/2023;1,034858;-77,527113;
POLICARPA;PANECILLO;EL COCAL;27;03/02/2023;1,645816;-77,455818;
POLICARPA;EL COCAL;EL COCAL;111;09/06/2023;1,820481;-77,620072;
POLICARPA;ALTAMIRA;ALTAMIRA;220;08/09/2023;1,648061;-77,401364;
POLICARPA;SANTACRUZ;RUELA DE LA TIERRA MACONDO;281;14/11/2023;1,801405;-77,546883;
POLICARPA;SANCHEZ;ACUEDUCTO SANCHEZ;269;24/10/2023;1,798809;-77,57964;
POTOSI;CUASPUD CUATRO ESQUINAS;CERRO GORDO;39;27/02/2023;0,790992;-77,587122;
PROVIDENCIA;TANDAYAN;ARROYO LAS PALMAS;6;12/01/2023;1,241592;-77,600894;
PROVIDENCIA;GUADIAHUMA;LAS TULPAS;13;20/01/2023;1,298706;-77,612531;
PROVIDENCIA;VILLA NUEVA;LOS CHEPITOS;17;23/01/2023;1,271106;-77,592389;
PROVIDENCIA;VILLA NUEVA;LOS JUCOS;14;20/01/2023;1,271106;-77,592389;
PROVIDENCIA;RANCHERIA;QUEBRADA LOS MOLINOS;12;20/01/2023;1,230558;-77,585292;
PROVIDENCIA;EL PLACER;EL CARRIZO;35;10/02/2023;1,228094;-77,593747;
PROVIDENCIA;GUANAMA;LOS POZUELOS;36;10/02/2023;1,188356;-77,591003;
PROVIDENCIA;VILLA MARIA;ARROYO LA PEÑA;70;21/04/2023;1,223172;-77,602083;
PROVIDENCIA;RANCHERIA;RANCHERIA;93;09/05/2023;1,230558;-77,585292;
PROVIDENCIA;RANCHERIA;LA CHORRERA RANCHERIA;292;27/11/2023;1,230558;-77,585292;
PUPIALES;CASA FRIA;QUEBRADA LOS LEONES;112;13/06/2023;0,947422;-77,661331;
PUPIALES;ESPINO SUR;QUEBRADA LAS CULEBRAS;7;17/01/2023;0,883073;-77,656636;
PUPIALES;CHILES;ALAMBUERA;175;02/08/2023;0,933331;-77,654036;
PUPIALES;LA ALUMBUERA;ALJIBE;260;23/10/2023;0,874289;-77,626469;
