MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
CONTADERO;EL JUNCAL;ARROYO HUMEADORA;248;2023-09-09;0.93865;-77.475581;
EL PEÑOL;SAN FRANCISCO;SAN FRANCISCO;258;2023-10-11;1.467056;-77.422306;https://drive.google.com/file/d/19parp1Ta8MxKSE9TKr3WZUIpMX71-iJR/view?usp=sharing
EL ROSARIO;LA SIERRA;SUSPIRO;134;2023-06-21;1.718876;-77.37555;
EL ROSARIO;LA SIERRA;SANTA ISABEL;152;2023-07-07;1.718876;-77.37555;
EL ROSARIO;LA SIERRA;LA LOMA;135;2023-06-21;1.718876;-77.37555;
EL ROSARIO;LA SIERRA;EL RINCON;153;2023-07-07;1.718876;-77.37555;
EL ROSARIO;LOS ROBLES;HUECO DEL OSO;252;2023-10-10;1.756906;-77.329031;
EL ROSARIO;MACAL;MACAL;253;2023-10-10;1.730431;-77.33765;
EL ROSARIO;ESMERALDAS;LA ALEGRIA;357;2023-12-29;1.885296;-77.501444;
EL ROSARIO;SANTA ISABEL;SANTA ISABEL;221;2023-09-08;1.770928;-77.340531;
EL TAMBO;CAPULI DE MINAS;LOS HIGUERONES;78;2023-04-28;1.385845;-77.357278;
EL TAMBO;LA GRANJA;OJO DE AGUA;84;2023-05-03;1.410261;-77.381056;
EL TAMBO;POTRERILLO;DON CONSTANTINO;42;2023-02-27;1.430683;-77.421707;
EL TAMBO;POCAURCO;BOCATOMA;172;2023-08-02;1.34214;-77.403495;
EL TAMBO;TAMBILLO;PICHUELO;139;2023-06-29;1.64195;-77.686125;
EL TAMBO;PLAN VERDE;JOSE ABEL;106;2023-05-31;1.439178;-77.411184;
EL TAMBO;CASCAJAL BAJO;ALTO CASCAJAL;114;2023-06-14;1.422866;-77.443528;
EL TAMBO;POCAURCO;BOCATOMA;172;2023-08-02;1.34214;-77.403495;
EL TAMBO;CAPULI DE MINAS;RASTROJO;194;2023-08-24;1.385833;-77.357278;
EL TAMBO;TAMBILLO;Tambillo;367;2023-12-29;1.64195;-77.686125;https://drive.google.com/file/d/1lyGjiEa-A-cxz7wZbQ0pNdMjfVkBZxmr/view?usp=sharing
EL TAMBO;PUEBLO VIEJO;PUEBLO VIEJO;250;2023-10-10;1.4045;-77.378361;https://drive.google.com/file/d/1FK-NtOAj2NZZs1QtvskEqTmZ5pXKSYc5/view?usp=sharing
LA FLORIDA;PACHINDO;QUEBRADA DE PACHINDO;293;2023-11-27;1.283011;-77.416619;
FRANCISCO PIZARRO;EL CEDRO;EL CEDRO;55;2023-04-17;2.060381;-78.613839;
FRANCISCO PIZARRO;LA CASCADA;LA CASCADA;56;2023-04-17;2.024711;-78.617069;
FRANCISCO PIZARRO;LA PRIMAVERA;LA PRIMAVERA;57;2023-04-17;2.013369;-78.659392;
FRANCISCO PIZARRO;CHORRO DE LA LOMA;CHORRO DE LA LOMA;58;2023-04-17;2.0616;-78.651339;
FRANCISCO PIZARRO;PUERTO GAITAN;FINCA INCHACO;272;2023-10-27;2.075744;-78.674378;
FRANCISCO PIZARRO;PUERTO GAITAN;INCHACO;273;2023-10-27;2.075744;-78.674378;
FUNES;TELLEZ ALTO;ECO CANTARINO;62;2023-04-18;1.001675;-77.460378;
FUNES;EL CHAPAL;NACEDERO SAN ISIDRO;239;2023-09-27;1.008172;-77.436408;
FUNES;EL CHAPAL;NACEDERO EL ZANJON;242;2023-10-03;1.008172;-77.436408;
GUACHUCAL;IPIALPUD BAJO;POZO;5;2023-01-12;0.960325;-77.7276;
GUACHUCAL;VILLANUEVA;ARROYO LA CORTADERA;68;2023-04-21;0.975397;-77.744078;
GUAITARILLA;EL CABUYO BAJO;LA TOMA;71;2023-04-21;1.146956;-77.520878;
GUAITARILLA;AHUMADA;CASA FRIA;76;2023-04-27;1.182172;-77.547744;
GUAITARILLA;SAN ALEJANDRO;EL DUENDE;161;2023-07-17;1.143333;-77.513056;
GUAITARILLA;CUMAG GRANDE;DOÑA JUANA;148;2023-07-06;1.133978;-77.565331;
GUAITARILLA;SAN VICENTE;PEÑA BLANCA;188;2023-08-16;1.13765;-77.550847;
GUAITARILLA;SAN FRANCISCO;EL CUCHARO;301;2023-12-04;1.138522;-77.553819;
GUAITARILLA;EL CABUYO;EL ARRAYAN;329;2023-12-12;1.151333;-77.523669;
GUAITARILLA;CUMAG CHIQUITO;EL CUCHO CUMAG CHIQUITO;340;2023-12-18;1.137797;-77.570397;
GUALMATAN;CHARANDU;CHARANDU;80;2023-05-02;0.927653;-77.600225;
GUALMATAN;CUATIS;EL MANANTIAL;85;2023-05-04;0.927194;-77.576908;
GUALMATAN;SAN ANTONIO;PANAMAL;177;2023-08-03;0.908458;-77.567242;
GUALMATAN;DOS CAMINOS;CANTERA DOS;288;2023-11-21;0.929408;-77.566597;
GUALMATAN;COFRADIA;SIN NOMBRE;334;2023-12-18;0.921331;-77.555981;
ILES;EL CAPULI;ARROYO EL BAÑO;4;2023-01-11;1.0011;-77.47;
ILES;EL PORVENIR;NACIMIENTO EL PINLLO;53;2023-04-10;1.015989;-77.488486;
ILES;URBANO;LOS ARRAYANES;182;2023-08-08;0.969747;-77.522628;
ILES;LOMA DE ARGOTYS;EL TUNDAL;191;2023-08-23;0.962778;-77.5575;
ILES;LOMA DE ARGOTYS;ARROYO BOLIVAR MIRADOR;192;2023-08-23;0.962778;-77.5575;
ILES;LOMA DE ARGOTYS;JABONCILLO;176;2023-08-03;0.962778;-77.5575;
ILES;EL CAPULI;EL ARRAYAB;195;2023-08-24;;-77.47;
ILES;SAN ANTONIO;ARROYO EL BAÑO;275;2023-10-30;0.985819;-77.545756;
ILES;EL CAPULI;ARRAYAN;271;2023-10-24;1.0011;-77.47;
ILES;EL CAPULI;EL GUINEO;287;2023-11-21;1.0011;-77.47;
IMUES;EL PEDREGAL;PEÑA DE LOS LOROS;83;2023-05-03;1.0518;-77.452008;
IMUES;SILAMA;EL MILAGRO DE DIOS;225;2023-09-14;1.057761;-77.484475;
IMUES;SILAMA;SILAMAG;227;2023-09-18;1.057761;-77.484475;
IMUES;EL PEDREGAL;POZO PROFUNDO;232;2023-09-18;1.0518;-77.452008;
IMUES;SAN BUENAVENTURA;LA TINAJA;375;2023-12-29;1.065431;-77.501789;
IPIALES;EL MIRADOR;ARROYO LA HONDURA;207;2023-08-29;0.853033;-77.668383;
